,asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
337,B00020CB2S,"[1, 1]",1,"['make', 'noticable', 'enough', 'difference', 'sound', 'quality', 'justify', 'cost', 'installed', 'inside', 'doors', 'using', 'roller', 'lots', 'elbow', 'grease', 'parts', 'dynamat', 'installed', 'good', 'contact', 'metal', 'return', 'stuck', 'car', 'door']","06 1, 2014",A3F3K0YC4VV0Q7,carguy,Not Worth It,1401580800
361,B00026Z3DQ,"[1, 3]",2,"['youd', 'better', 'trust', 'jack', 'stands', 'intention', 'getting', 'under', 'cari', 'thought', 'good', 'option', 'changed', 'mind', 'receiving', 'themfor', 'whatever', 'reason', 'justified', 'felt', 'uneasy', 'seeing', 'much', 'rattlei', 'decided', 'take', 'car', 'mechanics', 'ended', 'up', 'never', 'using', 'forgot', 'return', 'lateso', 'two', 'stars', 'inspire', 'confidence']","03 19, 2014",ANW6EGY12V5XS,Henri Savin,Never used... Feel a bit flimsy,1395187200
372,B00026Z3DQ,"[7, 7]",1,"['first', 'time', 'used', 'out', 'box', 'one', 'stands', 'neck', 'broken', 'decided', 'brand', 'one', 'avoid', 'friend', 'know']","01 18, 2013",A1R4R7Y8M8THQ8,reverseC,I returned it because,1358467200
373,B00026Z3DQ,"[7, 14]",1,"['bad', 'product', 'wrong', 'welded', 'weld', 'inside', 'out', 'sideso', 'recomended', 'use', 'under', 'car', 'please', 'dont', 'make', 'mistake', 'weld', 'rightthis', 'item', 'weld', 'both', 'side', 'inside', 'out', 'site', 'insidethe', 'pin', 'second', 'safety', 'pin', 'good', 'move', 'hold', 'post', 'right', 'nothing', 'make', 'sense', 'torin', 'send', 'back', 'year', 'annual', 'inspectionbut', 'dont', 'pay', 'sh', 'shoul', '1', 'ton', '3', 'ton', 'weld', 'formmy', 'item', 'look', 'used', 'new', 'looks', 'one', 'use', 'returned', 'sent', 'ups', 'drop', 'floor', 'cause', 'gate', 'aware', 'ups', 'dont', 'care', 'brake']","08 29, 2012",AXKVVIF0WLWV,ROBERT,"BAD WELDED ,DONT BUY IT DANGER",1346198400
388,B000276B2C,"[0, 12]",1,"['fram', 'horrific', 'history', 'manufacturing', 'oil', 'filters', 'fail', 'filters', 'leak', 'poor', 'job', 'filtering', 'impurities', 'websites', 'devoted', 'discussing', 'oil', 'oil', 'filters', 'fram', 'products', 'nearly', 'universally', 'criticized', 'avoided', 'videos', 'online', 'investigate', 'fram', 'oil', 'filters', 'nearly', 'universally', 'negativepurolator', 'wix', 'napa', 'mann', 'mahle', 'quality', 'filters', 'fram', 'worst', 'filters', 'risking', 'harming', 'bike']","07 27, 2013",A2RW8UPMROVVH0,IngSoc,Fram = Fail,1374883200
421,B00029WRJQ,"[1, 1]",2,"['device', 'attaches', 'securely', 'tow', 'vehicle', 'costthey', 'cumbersome', 'attach', 'detach', 'several', 'moving', 'parts', 'potential', 'scratch', 'tow', 'vehicle', 'paint', 'during', 'process', 'dont', 'three', 'hands', 'availableto', 'attain', 'secure', 'vibration', 'free', 'fit', 'crank', 'down', 'ratcheted', 'web', 'strap', 'hard', 'enough', 'deform', 'door', 'attaches', 'window', 'channel', 'deforms', 'rubber', 'window', 'sealfoam', 'pads', 'protect', 'door', 'somewhat', 'bracket', 'otherwise', 'rub', 'body', 'area', 'isnt', 'meticulously', 'clean', 'beforehand', 'see', 'dull', 'paint', 'over', 'timebecause', 'metal', 'claw', 'part', 'fits', 'window', 'channel', 'raising', 'lowering', 'window', 'caused', 'screeching', 'sound', 'drivers', 'side', 'windowfinally', 'detached', 'door', 'make', 'very', 'bulky', 'awkward', 'device', 'doesnt', 'store', 'conveniently', 'compactly', 'vehicleim', 'sending', 'back']","06 18, 2013",A3RW6YDNILSLXP,"Amazon Customer ""Utah Pete""","Secure, but hard on the vehicle",1371513600
431,B00029WRKU,"[0, 0]",1,"['piece', 'junk', 'straps', 'stretch', 'plastic', 'clips', 'slip', 'tightening', 'dam', 'things', 'fall', 'driving', 'try', 'type', 'slide', 'over', 'existing', 'mirror', 'plastic', 'screw', 'back', 'hold', 'work', 'well']","08 17, 2013",A7OG1Z5URP288,Namu,Junk,1376697600
435,B00029WSVI,"[0, 0]",1,"['1', 'viewing', 'surface', '8', 'inch', 'mirror', 'exactly', '75', 'inches', 'wide', '225', 'inches', 'high2', 'tried', 'adjustment', 'mirror', 'without', 'mounting', 'ball', 'joints', 'mirror', 'arm', 'tight', 'adjusting', 'extremely', 'difficult', 'nearly', 'impossible', 'wd40', 'work', 'working', 'joints', 'around', 'loosen', 'up3', 'try', 'adjust', 'mirror', 'mounted', 'risk', 'stressing', 'mounting', 'button', 'glue', 'button', 'fall', 'off4', 'adjusting', 'mirror', 'daynight', 'button', 'kept', 'flipping', 'onoff', 'very', 'annoying5', 'mirror', 'surface', 'itself', 'very', 'good', 'ripples']","10 5, 2013",A2FX0I2H21YHD5,"Jack Jones ""ReviewerJack""",Buyer beware,1380931200
549,B0002CO9L2,"[1, 2]",2,"['gave', 'things', '2', 'star', 'rating', '8', 'sets', 'installed', 'county', 'patrol', 'cars', 'sure', 'issue', 'bulbs', 'burning', 'out', 'pretty', 'rate', 'one', 'officer', 'tell', 'both', 'lights', 'burnt', 'out', 'last', 'night', '01232014', 'maybe', '130', 'watt', 'bulb', 'getting', 'hot', 'lost', '8', '10', 'bulbs', 'within', 'years', 'time', 'hope', 'kc', 'reads', 'something', 'issue', 'great', 'powerful', 'light', 'reaches', 'out', 'see', 'those', 'darn', 'deer', 'ahead', 'safe', 'maybe', 'look', 'another', 'type', 'light', 'give', 'longer', 'service', 'life', 'before', 'spend', 'money']","01 27, 2014",A2H4OMJLE7JFM2,Dan S. Birdsill,OK but not Great,1390780800
603,B0002F9YHI,"[1, 3]",2,"['used', 'decentlooking', 'leather', 'seats', '2003', 'toyota', 'siennai', 'bought', 'both', 'cleaner', 'conditioner', 'used', 'described', 'even', 'supposed', 'realize', 'made', 'difference', 'appearancewisehopefully', 'treatment', 'help', 'keep', 'alive', 'longer', 'regret', 'buying']","03 10, 2011",A1E3RTMBHQ2RJE,"Pen Name ""Turk""",Did not make much difference,1299715200
615,B0002F9YIC,"[10, 14]",1,"['lexol', 'leather', 'ph', 'cleaner', 'spray', 'offline', 'local', 'auto', 'parts', 'storeand', 'glad', 'didi', 'start', 'cleaning', 'car', 'first', 'thing', 'notice', 'citrus', 'smell', 'suddenly', 'half', 'through', 'cleaning', 'passenger', 'front', 'seat', 'sprayer', 'broke', 'point', 'white', 'cleaning', 'rag', 'using', 'still', 'white', 'given', 'cleaned', 'seats', 'months', 'returned', 'itso', 'went', 'online', 'much', 'research', 'orderedgriots', 'garage', '11259', 'leather', 'care', 'spray', 'kit', 'well', 'griot', 'cleaner', 'cleaned', 'old', 'grime', 'leather', 'seats', 'cleaned', 'lexol', 'cleaner', 'week', 'earlieri', 'used', 'variety', 'leather', 'cleaners', 'over', 'years', 'experience', 'one', 'absolutely', 'nothing']","03 20, 2011",ADHA1W879JNT0,dash-o,Does nothing for my car.  Returned.,1300579200
622,B0002F9YIC,"[1, 2]",2,"['used', 'both', 'cleaner', 'conditioner', 'described', 'make', 'difference', 'decent', 'looking', 'leather', 'seats', '2003', 'sienna', 'made', 'difference', 'realized', 'iti', 'regret', 'buying', 'hope', 'add', 'life', 'leather', 'seats', 'even', 'though', 'observed', 'change', 'appearance']","03 10, 2011",A1E3RTMBHQ2RJE,"Pen Name ""Turk""",Did not make a difference,1299715200
637,B0002H335A,"[2, 12]",1,"['jack', 'stands', 'fell', 'nothing', 'barely', 'shook', 'made', 'china', 'junk', 'waste', 'time', 'value', 'life', 'buy', 'american', 'jack', 'stands']","02 23, 2012",A3FQWIO6UOXF4X,"Ron Dossey ""Ron""",DO NOT BUY THESE THEY ARE NOT SAFE,1329955200
639,B0002H335A,"[1, 13]",1,"['ordered', 'paid', 'next', 'day', 'air', 'needed', 'weekend', 'arrived', 'wasnt', 'ordered', 'ordered', 'pair', 'jack', 'stands', 'received', 'engine', 'hoist', 'leveleri', 'understand', 'mistakes', 'happen', 'way', 'return', 'handled', 'issues', 'ups', 'dropped', 'take', 'post', 'office', 'send', 'back', 'wasnt', 'told', 'theyll', 'wait', 'ship', 'right', 'order', 'until', 'receive', 'back', 'via', 'slowest', 'mail', 'service', 'idea', 'replacement', 'order', 'arrive', 'week', 'two', 'weeksthis', 'wasnt', 'mistake', 'even', 'defective', 'product', 'human', 'error', 'part', 'told', 'theyd', 'immediately', 'ship', 'replacements', 'next', 'day', 'ordered', 'far', 'im', 'left', 'hanging', 'go', 'out', 'locally', 'need', 'end', 'up', 'extra', 'set', 'hold', 'day', 'theyre', 'coming', 'next', 'day', 'dont', 'know', 'thats', 'point', 'thats', 'gave', 'one', 'star']","05 10, 2012",A3KBUTSIFX0K9V,Steve,Wrong item shipped after ordering NEXT DAY,1336608000
725,B0002JN2EU,"[0, 6]",2,"['used', 'pickup', 'truck', 'getting', 'hard', 'starts', 'rough', 'idles', 'decreased', 'fuel', 'economy', 'past', '6', 'months', 'noticed', '2mpg', 'drop', 'fuel', 'economya', 'couple', 'friends', 'used', 'stuff', 'claimed', 'success', 'gave', 'shot', 'added', 'fuel', 'tank', 'half', 'each', 'crankcase', 'air', 'intake', 'sit', 'drove', 'around', 'smoked', 'crazy', 'promisednow', 'anecdotally', 'think', 'smoothed', 'out', 'idle', 'havent', 'hard', 'start', 'nothing', 'quantify', 'sure', 'improvements', 'psychological', 'think', 'truck', 'runs', 'better', 'wax', 'use', 'coincided', 'end', 'winter', 'operating', 'temperatures', 'account', 'improvements', 'see', 'improvement', 'mpgso', 'story', 'ended', 'id', 'give', 'go', 'works', 'great', 'didnt', 'lose', 'muchbutthe', 'second', 'tank', 'using', 'o2', 'sensor', 'code', 'replace', 'downstream', 'sensor', 'fair', 'truck', '100k', 'natural', 'lifespan', 'sensor', 'already', 'noticed', 'drop', 'mpg', 'sensor', 'way', 'out', 'same', 'time', 'think', 'interesting', 'failed', 'less', '300', 'miles', 'using', 'product', 'ive', 'driving', 'around', 'diminished', 'mpg', 'several', 'thousand', 'miles', 'personal', 'belief', 'big', 'blast', 'smoke', 'pushed', 'failing', 'sensor', 'over', 'edgeso', 'wont', 'use', 'stuff', 'again', 'people', 'fine', 'luck', 'worth', 'risk']","03 13, 2013",A2V9ULRWMX9WEJ,Anonymous,"No improvement, and I got  O2 Sensor Problems",1363132800
755,B0002JN2EU,"[0, 0]",1,"['used', 'both', 'cans', 'product', 'different', 'cars', 'product', 'results', 'tremendous', 'amount', 'emissions', 'being', 'spewed', 'air', 'sucked', 'vacuum', 'system', 'described', 'articles', 'read', 'product', 'before', 'purchasing', 'addition', 'creating', 'air', 'pollution', 'drawing', 'angry', 'stares', 'neighbors', 'simply', 'convinced', 'product', 'effective']","07 10, 2014",A7VHSWMVWRNUL,Saint Mary,There has to be a better way...,1404950400
781,B0002KKHS8,"[1, 3]",2,"['used', 'years', 'car', 'dash', 'vinyl', 'areas', 'interior', 'always', 'thought', 'worked', 'protected', 'pretty', 'well', 'although', 'evaporate', 'inside', 'windshield', 'annoying', 'doesnt', 'seem', 'last', 'very', 'long', 'starts', 'wearing', 'dash', 'looks', 'very', 'dryive', 'found303', 'aerospace', 'protectant', '32oz', 'works', 'much', 'better', 'doesnt', 'seem', 'exhibit', 'aforementioned', 'issues', 'ie', 'doesnt', 'seem', 'go', 'inside', 'windshield', 'shine', 'lasts', 'longer', 'protects', 'uv', 'well', 'better', 'note', 'vinylex', 'contains', 'silicone', 'actually', 'damages', 'vinylplastic', 'over', 'timeim', 'definitely', 'sold', '303', 'protectant', 'over', 'vinylex', 'now', 'although', 'really', 'lexol', 'ph', 'leather', 'cleaner', 'lexol', 'leather', 'conditioner', 'leather']","02 18, 2013",A1F9Z42CFF9IAY,T. Tom,"Not the best, contains silicones",1361145600
798,B0002KM5L0,"[0, 1]",1,"['thing', 'leaks', 'first', 'use', 'hoses', 'tight', 'brake', 'fluids', 'leak', 'everywhere', 'under', 'hood', 'lucky', 'put', '3', 'towels', 'around', 'brake', 'fluid', 'tank', 'knew', 'happen', 'buy', 'again']","11 23, 2012",A1P12P4EU026XT,C. Nguyen,"inferior product, leaks on first use",1353628800
799,B0002KM5L0,"[0, 0]",2,"['swiveling', 'between', 'cap', 'tube', 'bottle', 'words', 'screwunscrew', 'cap', 'onto', 'cars', 'brake', 'fluid', 'container', 'kinking', 'tube', 'itself', 'untangling', 'kinks', 'chore', 'bottle', 'both', 'quite', 'big', 'heavy', 'filled', 'brake', 'fluid', 'designed', 'quickconnectdisconnect', 'compressor', 'air', 'hose', 'ideal', 'solution', 'guess', 'add', 'cost', 'adding', 'feature', 'doubt', 'cost', 'much', 'browsed', 'through', 'airhose', 'connectors', 'harbor', 'freight', 'run', 'typically', 'couple', 'bucks', 'each', 'modify', 'bleeder', 'air', 'hose', 'connector', 'address', 'problem']","06 25, 2014",A1NUTYNSRRPXCU,Henry Ting,"Functional, but one major flaw",1403654400
801,B0002KM5L0,"[1, 5]",1,"['quality', 'bleeder', 'awesome', 'take', 'hours', 'upon', 'hours', 'plan', 'actually', 'using', 'product', 'bleed', 'cars', 'brake', 'fluid', 'far', 'better', 'using', 'buddy', 'pump', 'brakes', 'open', 'bleeder', 'valve', 'press', 'brakes', '510', 'times', 'closing', 'bleeder', 'valve', 'repeat', 'necessary', 'higher', 'amount', 'fluid', 'out', 'each', 'time', 'using', 'bleeder', 'squeezing', 'top', 'managed', 'keep', '14', 'psi', '145', 'recommended', 'vw', 'mechanics', 'manual', 'literally', 'pushed', 'out', '10', 'drops', 'minuteif', 'arent', 'sure', 'bleed', 'brakes', 'stated', 'above', 'go', 'youtube', 'youll', 'see', 'talking', 'aboutalso', 'bleeder', 'bottle', 'find', 'amazon', 'item', 'frequently', 'bought', 'item', 'worth', 'money']","01 22, 2014",A2BVXEAKKI0PF6,Sean Whealton,YOU DO NOT NEED THIS,1390348800
804,B0002KRABU,"[3, 3]",1,"['test', 'leads', 'way', 'wimpy', 'automotive', 'use', 'ifter', 'couple', 'pulled', 'apart', 'threw', 'rest', 'out', 'low', 'grade', 'product']","12 13, 2012",A20S66SKYXULG2,alphonse,wimpy,1355356800
807,B0002KRABU,"[0, 0]",2,['cheep'],"06 29, 2014",A2LUV1LNOEBRGW,Claudia Bea Ehrlich,Two Stars,1404000000
815,B0002KRABU,"[1, 2]",1,"['yes', 'wire', 'leads', 'alligator', 'clips', 'thats', 'standard', 'giving', 'good', 'ratingotherwise', 'trying', 'use', 'jumper', 'wires', 'electrical', 'work', 'useless', 'much', 'resistance', 'due', 'very', 'small', 'gauge', 'wire', 'shoddy', 'connections', 'make', 'good', 'clips', 'hanging', 'paper', 'lol']","12 7, 2010",A3NZQVGB1RYMOR,Patrick Freeman,horrible,1291680000
859,B0002MA3P8,"[10, 11]",2,"['things', 'give', 'pretty', 'wide', 'pattern', 'being', 'small', 'tad', 'bit', 'brighter', 'fog', 'light', 'exactly', 'needed', 'lights', 'feel', 'well', 'made', 'sturdy', 'wiring', 'harness', 'very', 'well', 'made', 'wire', 'good', 'quality', 'fairly', 'long', 'load', 'wire', 'goes', 'switch', 'relay', 'long', 'enough', 'needed', 'extended', 'needs', 'switch', 'comes', 'kit', 'really', 'nice', 'led', 'active', 'light', 'thats', 'red', 'lights', 'greeen', 'lights', 'turned', 'wont', 'using', 'itedit', 'crap', 'lights', 'started', 'leak', 'seems', 'weather', 'stripping', 'inside', 'around', 'lens', 'way', 'big', 'doesnt', 'seal', 'right', 'took', 'lights', 'front', 'bumper', 'put', 'rear', 'bumper', 'use', 'reverse', 'lights', 'didnt', 'give', 'light', 'output', 'desired', 'week', 'being', 'rear', 'bumper', 'filled', 'up', 'completely', 'water', 'even', 'worse', 'front', 'bumper', 'one', 'lens', 'cracked', 'going', 'contact', 'company', 'seller', 'see', 'replacement', 'lens', 'read', 'reviews', 'before', 'purchasing', 'lights', 'greatest']","05 9, 2011",A1EGTFFB15TPG1,Chris,CRAP,1304899200
861,B0002MA3P8,"[1, 2]",1,"['mounted', 'bumper', 'ford', 'f250', '24', 'ground', 'close', 'pavement', 'means', 'housings', 'started', 'leak', 'within', 'week', 'two', 'being', 'installed', 'removed', 'lights', 'tried', 'sealing', 'black', 'silicone', 'still', 'leaked', 'perhaps', 'leak', 'chrome', 'started', 'flaking', 'within', 'few', 'weeks', 'now', 'very', 'good', 'looking', 'lights', 'leak', 'produce', 'nearly', 'helpful', 'light', 'wont', 'stay', 'aimed', 'direction', 'angled']","07 7, 2013",ATVU6OJLXAROA,"Nate ""aquan8tor""","Housing leaks, chrome flakes off in a few months",1373155200
864,B0002MADZ8,"[0, 0]",2,"['things', 'burning', 'right', 'left', 'installed', '8', 'patrol', 'cars', 'dont', 'seem', 'last', 'more', 'few', 'months', 'careful', 'order', 'kc', 'lights', '130', 'watt', 'bulbs', 'light', 'reaches', 'out', 'good', 'ive', 'seen', 'quality', 'bulb', 'leave', 'much', 'desired']","01 27, 2014",A2H4OMJLE7JFM2,Dan S. Birdsill,Questionable,1390780800
915,B0002NYDZ8,"[0, 0]",1,"['very', 'well', 'constructed', 'design', 'flaw', 'makes', 'useless', 'internal', 'plunger', 'disc', 'slot', 't', 'handle', 'needs', 'engage', 'disc', 'perfectly', 'rod', 'pushes', 'grease', 'disc', 'grease', 'load', 'properly', '4', 'standard', 'grease', 'guns', 'work', 'perfectly', 'wanted', 'pistol', 'grip', 'pump', 'one', 'handi', 'idea', 'intended', 'purpose', 'having', 'rod', 'disengage', 'plunger', 'disc', 'unique', 'experience', 'lincoln', 'grease', 'gun']","01 11, 2014",A204K1OFE8OB9Y,Winter,Going into the trash,1389398400
924,B0002NYE5M,"[0, 0]",2,"['hard', 'apply', 'very', 'hard', 'take', 'go', 'back', 'supply', 'cabinet', 'useed', 'out', 'p21s', 'definitely', 'pay', 'case']","12 20, 2013",A3FK1TTD6F8M0D,"Brett Vogel ""EletronicMan7475""",Stiff,1387497600
946,B0002NYE5W,"[2, 5]",2,"['maybe', 'didnt', 'see', 'much', 'difference', '2010', '370z', 'baby', 'decided', 'three', 'years', 'time', 'detail', 'finish', 'baby', 'darn', 'thing', 'garage', 'kept', 'pretty', 'clean', 'start', 'followed', 'long', 'involved', 'instructions', 'written', 'one', 'experienced', 'reviewers', 'letter', 'decided', 'hood', 'cleanwax', 'rest', 'car', 'comparison', 'see', 'different', 'hood', 'definitely', 'higher', 'gloss', 'difference', 'one', 'notice', 'maybe', 'more', 'noticeable', 'older', 'car', 'faded', 'paint', 'wouldnt', 'waste', 'time', 'doing', 'again']","08 5, 2013",A3LWR6L9ZPUSDZ,S. G. Coates,Waste of time and money,1375660800
965,B0002Q81W6,"[0, 1]",1,"['plastic', 'sandwich', 'type', 'holder', 'flat', '4', 'wire', 'connector', 'connector', 'fit', 'loose', 'tilt', 'angle', 'result', 'holder', 'proper', 'channel', 'fit', 'cover', '4', 'wire', 'connector', 'bought', 'channel', 'provided', 'cover', 'very', 'small', 'evidently', 'application', 'specific', 'waste', 'money', 'buy', 'different', 'mounting', 'bracket', 'trailer', 'place']","02 21, 2012",A2NSCHJNZAAT28,"Db ""db3058""",Garbage,1329782400
