,asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
312,B00020CATC,"[5, 8]",2,"['look', 'product', 'simpli', 'calcul', 'actual', 'cost', 'per', 'squar', 'foot', 'exampl', 'thisspeak', 'kit', 'contain', '138', 'squar', 'feet', 'around', '22', 'buckspric', 'fluxuat', 'stock', 'somethingcan', 'u', 'think', 'anyth', 'that', 'worth', '15', 'dollar', 'squar', 'foot', 'mani', 'cheaper', 'altern', 'dynamat', 'awsom', 'product', 'work', 'those', 'made', 'money', 'search', 'butyl', 'flash', 'tape', 'u', 'glad', 'u']","08 21, 2011",A15YJ2DV1S9ZP2,jdep,APPLY COMMON SENSE,1313884800
324,B00020CAUG,"[0, 2]",1,"['return', 'much', 'work', 'instal', 'find', 'hard', 'believ', 'make', 'much', 'differ']","05 16, 2014",A1EMY19Z7WUDGC,Sandan,Not for Me,1400198400
337,B00020CB2S,"[1, 1]",1,"['make', 'notic', 'enough', 'differ', 'sound', 'qualiti', 'justifi', 'cost', 'instal', 'insid', 'door', 'use', 'roller', 'lot', 'elbow', 'greas', 'part', 'dynamat', 'instal', 'good', 'contact', 'metal', 'return', 'stuck', 'car', 'door']","06 1, 2014",A3F3K0YC4VV0Q7,carguy,Not Worth It,1401580800
361,B00026Z3DQ,"[1, 3]",2,"['youd', 'better', 'trust', 'jack', 'stand', 'intent', 'get', 'under', 'cari', 'thought', 'good', 'option', 'chang', 'mind', 'receiv', 'themfor', 'whatev', 'reason', 'justifi', 'felt', 'uneasi', 'see', 'much', 'rattlei', 'decid', 'take', 'car', 'mechan', 'end', 'up', 'never', 'use', 'forgot', 'return', 'lateso', 'two', 'star', 'inspir', 'confid']","03 19, 2014",ANW6EGY12V5XS,Henri Savin,Never used... Feel a bit flimsy,1395187200
372,B00026Z3DQ,"[7, 7]",1,"['first', 'time', 'use', 'out', 'box', 'one', 'stand', 'neck', 'broken', 'decid', 'brand', 'one', 'avoid', 'friend', 'know']","01 18, 2013",A1R4R7Y8M8THQ8,reverseC,I returned it because,1358467200
373,B00026Z3DQ,"[7, 14]",1,"['bad', 'product', 'wrong', 'weld', 'weld', 'insid', 'out', 'sideso', 'recomend', 'use', 'under', 'car', 'pleas', 'dont', 'make', 'mistak', 'weld', 'rightthi', 'item', 'weld', 'both', 'side', 'insid', 'out', 'site', 'insideth', 'pin', 'second', 'safeti', 'pin', 'good', 'move', 'hold', 'post', 'right', 'noth', 'make', 'sens', 'torin', 'send', 'back', 'year', 'annual', 'inspectionbut', 'dont', 'pay', 'sh', 'shoul', '1', 'ton', '3', 'ton', 'weld', 'formmi', 'item', 'look', 'use', 'new', 'look', 'one', 'use', 'return', 'sent', 'up', 'drop', 'floor', 'caus', 'gate', 'awar', 'up', 'dont', 'care', 'brake']","08 29, 2012",AXKVVIF0WLWV,ROBERT,"BAD WELDED ,DONT BUY IT DANGER",1346198400
388,B000276B2C,"[0, 12]",1,"['fram', 'horrif', 'histori', 'manufactur', 'oil', 'filter', 'fail', 'filter', 'leak', 'poor', 'job', 'filter', 'impur', 'websit', 'devot', 'discuss', 'oil', 'oil', 'filter', 'fram', 'product', 'near', 'univers', 'critic', 'avoid', 'video', 'onlin', 'investig', 'fram', 'oil', 'filter', 'near', 'univers', 'negativepurol', 'wix', 'napa', 'mann', 'mahl', 'qualiti', 'filter', 'fram', 'worst', 'filter', 'risk', 'harm', 'bike']","07 27, 2013",A2RW8UPMROVVH0,IngSoc,Fram = Fail,1374883200
421,B00029WRJQ,"[1, 1]",2,"['devic', 'attach', 'secur', 'tow', 'vehicl', 'costthey', 'cumbersom', 'attach', 'detach', 'sever', 'move', 'part', 'potenti', 'scratch', 'tow', 'vehicl', 'paint', 'dure', 'process', 'dont', 'three', 'hand', 'availableto', 'attain', 'secur', 'vibrat', 'free', 'fit', 'crank', 'down', 'ratchet', 'web', 'strap', 'hard', 'enough', 'deform', 'door', 'attach', 'window', 'channel', 'deform', 'rubber', 'window', 'sealfoam', 'pad', 'protect', 'door', 'somewhat', 'bracket', 'otherwis', 'rub', 'bodi', 'area', 'isnt', 'meticul', 'clean', 'beforehand', 'see', 'dull', 'paint', 'over', 'timebecaus', 'metal', 'claw', 'part', 'fit', 'window', 'channel', 'rais', 'lower', 'window', 'caus', 'screech', 'sound', 'driver', 'side', 'windowfin', 'detach', 'door', 'make', 'veri', 'bulki', 'awkward', 'devic', 'doesnt', 'store', 'conveni', 'compact', 'vehicleim', 'send', 'back']","06 18, 2013",A3RW6YDNILSLXP,"Amazon Customer ""Utah Pete""","Secure, but hard on the vehicle",1371513600
431,B00029WRKU,"[0, 0]",1,"['piec', 'junk', 'strap', 'stretch', 'plastic', 'clip', 'slip', 'tighten', 'dam', 'thing', 'fall', 'drive', 'tri', 'type', 'slide', 'over', 'exist', 'mirror', 'plastic', 'screw', 'back', 'hold', 'work', 'well']","08 17, 2013",A7OG1Z5URP288,Namu,Junk,1376697600
435,B00029WSVI,"[0, 0]",1,"['1', 'view', 'surfac', '8', 'inch', 'mirror', 'exact', '75', 'inch', 'wide', '225', 'inch', 'high2', 'tri', 'adjust', 'mirror', 'without', 'mount', 'ball', 'joint', 'mirror', 'arm', 'tight', 'adjust', 'extrem', 'difficult', 'near', 'imposs', 'wd40', 'work', 'work', 'joint', 'around', 'loosen', 'up3', 'tri', 'adjust', 'mirror', 'mount', 'risk', 'stress', 'mount', 'button', 'glue', 'button', 'fall', 'off4', 'adjust', 'mirror', 'daynight', 'button', 'kept', 'flip', 'onoff', 'veri', 'annoying5', 'mirror', 'surfac', 'itself', 'veri', 'good', 'rippl']","10 5, 2013",A2FX0I2H21YHD5,"Jack Jones ""ReviewerJack""",Buyer beware,1380931200
549,B0002CO9L2,"[1, 2]",2,"['gave', 'thing', '2', 'star', 'rate', '8', 'set', 'instal', 'counti', 'patrol', 'car', 'sure', 'issu', 'bulb', 'burn', 'out', 'pretti', 'rate', 'one', 'offic', 'tell', 'both', 'light', 'burnt', 'out', 'last', 'night', '01232014', 'mayb', '130', 'watt', 'bulb', 'get', 'hot', 'lost', '8', '10', 'bulb', 'within', 'year', 'time', 'hope', 'kc', 'read', 'someth', 'issu', 'great', 'power', 'light', 'reach', 'out', 'see', 'those', 'darn', 'deer', 'ahead', 'safe', 'mayb', 'look', 'anoth', 'type', 'light', 'give', 'longer', 'servic', 'life', 'befor', 'spend', 'money']","01 27, 2014",A2H4OMJLE7JFM2,Dan S. Birdsill,OK but not Great,1390780800
603,B0002F9YHI,"[1, 3]",2,"['use', 'decentlook', 'leather', 'seat', '2003', 'toyota', 'siennai', 'bought', 'both', 'cleaner', 'condition', 'use', 'describ', 'even', 'suppos', 'realiz', 'made', 'differ', 'appearancewisehop', 'treatment', 'help', 'keep', 'aliv', 'longer', 'regret', 'buy']","03 10, 2011",A1E3RTMBHQ2RJE,"Pen Name ""Turk""",Did not make much difference,1299715200
615,B0002F9YIC,"[10, 14]",1,"['lexol', 'leather', 'ph', 'cleaner', 'spray', 'offlin', 'local', 'auto', 'part', 'storeand', 'glad', 'didi', 'start', 'clean', 'car', 'first', 'thing', 'notic', 'citrus', 'smell', 'sudden', 'half', 'through', 'clean', 'passeng', 'front', 'seat', 'sprayer', 'broke', 'point', 'white', 'clean', 'rag', 'use', 'still', 'white', 'given', 'clean', 'seat', 'month', 'return', 'itso', 'went', 'onlin', 'much', 'research', 'orderedgriot', 'garag', '11259', 'leather', 'care', 'spray', 'kit', 'well', 'griot', 'cleaner', 'clean', 'old', 'grime', 'leather', 'seat', 'clean', 'lexol', 'cleaner', 'week', 'earlieri', 'use', 'varieti', 'leather', 'cleaner', 'over', 'year', 'experi', 'one', 'absolut', 'noth']","03 20, 2011",ADHA1W879JNT0,dash-o,Does nothing for my car.  Returned.,1300579200
622,B0002F9YIC,"[1, 2]",2,"['use', 'both', 'cleaner', 'condition', 'describ', 'make', 'differ', 'decent', 'look', 'leather', 'seat', '2003', 'sienna', 'made', 'differ', 'realiz', 'iti', 'regret', 'buy', 'hope', 'add', 'life', 'leather', 'seat', 'even', 'though', 'observ', 'chang', 'appear']","03 10, 2011",A1E3RTMBHQ2RJE,"Pen Name ""Turk""",Did not make a difference,1299715200
637,B0002H335A,"[2, 12]",1,"['jack', 'stand', 'fell', 'noth', 'bare', 'shook', 'made', 'china', 'junk', 'wast', 'time', 'valu', 'life', 'buy', 'american', 'jack', 'stand']","02 23, 2012",A3FQWIO6UOXF4X,"Ron Dossey ""Ron""",DO NOT BUY THESE THEY ARE NOT SAFE,1329955200
639,B0002H335A,"[1, 13]",1,"['order', 'paid', 'next', 'day', 'air', 'need', 'weekend', 'arriv', 'wasnt', 'order', 'order', 'pair', 'jack', 'stand', 'receiv', 'engin', 'hoist', 'leveleri', 'understand', 'mistak', 'happen', 'way', 'return', 'handl', 'issu', 'up', 'drop', 'take', 'post', 'offic', 'send', 'back', 'wasnt', 'told', 'theyll', 'wait', 'ship', 'right', 'order', 'until', 'receiv', 'back', 'via', 'slowest', 'mail', 'servic', 'idea', 'replac', 'order', 'arriv', 'week', 'two', 'weeksthi', 'wasnt', 'mistak', 'even', 'defect', 'product', 'human', 'error', 'part', 'told', 'theyd', 'immedi', 'ship', 'replac', 'next', 'day', 'order', 'far', 'im', 'left', 'hang', 'go', 'out', 'local', 'need', 'end', 'up', 'extra', 'set', 'hold', 'day', 'theyr', 'come', 'next', 'day', 'dont', 'know', 'that', 'point', 'that', 'gave', 'one', 'star']","05 10, 2012",A3KBUTSIFX0K9V,Steve,Wrong item shipped after ordering NEXT DAY,1336608000
725,B0002JN2EU,"[0, 6]",2,"['use', 'pickup', 'truck', 'get', 'hard', 'start', 'rough', 'idl', 'decreas', 'fuel', 'economi', 'past', '6', 'month', 'notic', '2mpg', 'drop', 'fuel', 'economya', 'coupl', 'friend', 'use', 'stuff', 'claim', 'success', 'gave', 'shot', 'ad', 'fuel', 'tank', 'half', 'each', 'crankcas', 'air', 'intak', 'sit', 'drove', 'around', 'smoke', 'crazi', 'promisednow', 'anecdot', 'think', 'smooth', 'out', 'idl', 'havent', 'hard', 'start', 'noth', 'quantifi', 'sure', 'improv', 'psycholog', 'think', 'truck', 'run', 'better', 'wax', 'use', 'coincid', 'end', 'winter', 'oper', 'temperatur', 'account', 'improv', 'see', 'improv', 'mpgso', 'stori', 'end', 'id', 'give', 'go', 'work', 'great', 'didnt', 'lose', 'muchbutth', 'second', 'tank', 'use', 'o2', 'sensor', 'code', 'replac', 'downstream', 'sensor', 'fair', 'truck', '100k', 'natur', 'lifespan', 'sensor', 'alreadi', 'notic', 'drop', 'mpg', 'sensor', 'way', 'out', 'same', 'time', 'think', 'interest', 'fail', 'less', '300', 'mile', 'use', 'product', 'ive', 'drive', 'around', 'diminish', 'mpg', 'sever', 'thousand', 'mile', 'person', 'belief', 'big', 'blast', 'smoke', 'push', 'fail', 'sensor', 'over', 'edgeso', 'wont', 'use', 'stuff', 'again', 'peopl', 'fine', 'luck', 'worth', 'risk']","03 13, 2013",A2V9ULRWMX9WEJ,Anonymous,"No improvement, and I got  O2 Sensor Problems",1363132800
755,B0002JN2EU,"[0, 0]",1,"['use', 'both', 'can', 'product', 'differ', 'car', 'product', 'result', 'tremend', 'amount', 'emiss', 'be', 'spew', 'air', 'suck', 'vacuum', 'system', 'describ', 'articl', 'read', 'product', 'befor', 'purchas', 'addit', 'creat', 'air', 'pollut', 'draw', 'angri', 'stare', 'neighbor', 'simpli', 'convinc', 'product', 'effect']","07 10, 2014",A7VHSWMVWRNUL,Saint Mary,There has to be a better way...,1404950400
781,B0002KKHS8,"[1, 3]",2,"['use', 'year', 'car', 'dash', 'vinyl', 'area', 'interior', 'alway', 'thought', 'work', 'protect', 'pretti', 'well', 'although', 'evapor', 'insid', 'windshield', 'annoy', 'doesnt', 'seem', 'last', 'veri', 'long', 'start', 'wear', 'dash', 'look', 'veri', 'dryiv', 'found303', 'aerospac', 'protect', '32oz', 'work', 'much', 'better', 'doesnt', 'seem', 'exhibit', 'aforement', 'issu', 'ie', 'doesnt', 'seem', 'go', 'insid', 'windshield', 'shine', 'last', 'longer', 'protect', 'uv', 'well', 'better', 'note', 'vinylex', 'contain', 'silicon', 'actual', 'damag', 'vinylplast', 'over', 'timeim', 'definit', 'sold', '303', 'protect', 'over', 'vinylex', 'now', 'although', 'realli', 'lexol', 'ph', 'leather', 'cleaner', 'lexol', 'leather', 'condition', 'leather']","02 18, 2013",A1F9Z42CFF9IAY,T. Tom,"Not the best, contains silicones",1361145600
798,B0002KM5L0,"[0, 1]",1,"['thing', 'leak', 'first', 'use', 'hose', 'tight', 'brake', 'fluid', 'leak', 'everywher', 'under', 'hood', 'lucki', 'put', '3', 'towel', 'around', 'brake', 'fluid', 'tank', 'knew', 'happen', 'buy', 'again']","11 23, 2012",A1P12P4EU026XT,C. Nguyen,"inferior product, leaks on first use",1353628800
799,B0002KM5L0,"[0, 0]",2,"['swivel', 'between', 'cap', 'tube', 'bottl', 'word', 'screwunscrew', 'cap', 'onto', 'car', 'brake', 'fluid', 'contain', 'kink', 'tube', 'itself', 'untangl', 'kink', 'chore', 'bottl', 'both', 'quit', 'big', 'heavi', 'fill', 'brake', 'fluid', 'design', 'quickconnectdisconnect', 'compressor', 'air', 'hose', 'ideal', 'solut', 'guess', 'add', 'cost', 'ad', 'featur', 'doubt', 'cost', 'much', 'brows', 'through', 'airhos', 'connector', 'harbor', 'freight', 'run', 'typic', 'coupl', 'buck', 'each', 'modifi', 'bleeder', 'air', 'hose', 'connector', 'address', 'problem']","06 25, 2014",A1NUTYNSRRPXCU,Henry Ting,"Functional, but one major flaw",1403654400
801,B0002KM5L0,"[1, 5]",1,"['qualiti', 'bleeder', 'awesom', 'take', 'hour', 'upon', 'hour', 'plan', 'actual', 'use', 'product', 'bleed', 'car', 'brake', 'fluid', 'far', 'better', 'use', 'buddi', 'pump', 'brake', 'open', 'bleeder', 'valv', 'press', 'brake', '510', 'time', 'close', 'bleeder', 'valv', 'repeat', 'necessari', 'higher', 'amount', 'fluid', 'out', 'each', 'time', 'use', 'bleeder', 'squeez', 'top', 'manag', 'keep', '14', 'psi', '145', 'recommend', 'vw', 'mechan', 'manual', 'liter', 'push', 'out', '10', 'drop', 'minuteif', 'arent', 'sure', 'bleed', 'brake', 'state', 'abov', 'go', 'youtub', 'youll', 'see', 'talk', 'aboutalso', 'bleeder', 'bottl', 'find', 'amazon', 'item', 'frequent', 'bought', 'item', 'worth', 'money']","01 22, 2014",A2BVXEAKKI0PF6,Sean Whealton,YOU DO NOT NEED THIS,1390348800
804,B0002KRABU,"[3, 3]",1,"['test', 'lead', 'way', 'wimpi', 'automot', 'use', 'ifter', 'coupl', 'pull', 'apart', 'threw', 'rest', 'out', 'low', 'grade', 'product']","12 13, 2012",A20S66SKYXULG2,alphonse,wimpy,1355356800
807,B0002KRABU,"[0, 0]",2,['cheep'],"06 29, 2014",A2LUV1LNOEBRGW,Claudia Bea Ehrlich,Two Stars,1404000000
815,B0002KRABU,"[1, 2]",1,"['yes', 'wire', 'lead', 'allig', 'clip', 'that', 'standard', 'give', 'good', 'ratingotherwis', 'tri', 'use', 'jumper', 'wire', 'electr', 'work', 'useless', 'much', 'resist', 'due', 'veri', 'small', 'gaug', 'wire', 'shoddi', 'connect', 'make', 'good', 'clip', 'hang', 'paper', 'lol']","12 7, 2010",A3NZQVGB1RYMOR,Patrick Freeman,horrible,1291680000
859,B0002MA3P8,"[10, 11]",2,"['thing', 'give', 'pretti', 'wide', 'pattern', 'be', 'small', 'tad', 'bit', 'brighter', 'fog', 'light', 'exact', 'need', 'light', 'feel', 'well', 'made', 'sturdi', 'wire', 'har', 'veri', 'well', 'made', 'wire', 'good', 'qualiti', 'fair', 'long', 'load', 'wire', 'goe', 'switch', 'relay', 'long', 'enough', 'need', 'extend', 'need', 'switch', 'come', 'kit', 'realli', 'nice', 'led', 'activ', 'light', 'that', 'red', 'light', 'greeen', 'light', 'turn', 'wont', 'use', 'itedit', 'crap', 'light', 'start', 'leak', 'seem', 'weather', 'strip', 'insid', 'around', 'len', 'way', 'big', 'doesnt', 'seal', 'right', 'took', 'light', 'front', 'bumper', 'put', 'rear', 'bumper', 'use', 'revers', 'light', 'didnt', 'give', 'light', 'output', 'desir', 'week', 'be', 'rear', 'bumper', 'fill', 'up', 'complet', 'water', 'even', 'wors', 'front', 'bumper', 'one', 'len', 'crack', 'go', 'contact', 'compani', 'seller', 'see', 'replac', 'len', 'read', 'review', 'befor', 'purchas', 'light', 'greatest']","05 9, 2011",A1EGTFFB15TPG1,Chris,CRAP,1304899200
861,B0002MA3P8,"[1, 2]",1,"['mount', 'bumper', 'ford', 'f250', '24', 'ground', 'close', 'pavement', 'mean', 'hous', 'start', 'leak', 'within', 'week', 'two', 'be', 'instal', 'remov', 'light', 'tri', 'seal', 'black', 'silicon', 'still', 'leak', 'perhap', 'leak', 'chrome', 'start', 'flake', 'within', 'few', 'week', 'now', 'veri', 'good', 'look', 'light', 'leak', 'produc', 'near', 'help', 'light', 'wont', 'stay', 'aim', 'direct', 'angl']","07 7, 2013",ATVU6OJLXAROA,"Nate ""aquan8tor""","Housing leaks, chrome flakes off in a few months",1373155200
864,B0002MADZ8,"[0, 0]",2,"['thing', 'burn', 'right', 'left', 'instal', '8', 'patrol', 'car', 'dont', 'seem', 'last', 'more', 'few', 'month', 'care', 'order', 'kc', 'light', '130', 'watt', 'bulb', 'light', 'reach', 'out', 'good', 'ive', 'seen', 'qualiti', 'bulb', 'leav', 'much', 'desir']","01 27, 2014",A2H4OMJLE7JFM2,Dan S. Birdsill,Questionable,1390780800
915,B0002NYDZ8,"[0, 0]",1,"['veri', 'well', 'construct', 'design', 'flaw', 'make', 'useless', 'intern', 'plunger', 'disc', 'slot', 't', 'handl', 'need', 'engag', 'disc', 'perfect', 'rod', 'push', 'greas', 'disc', 'greas', 'load', 'proper', '4', 'standard', 'greas', 'gun', 'work', 'perfect', 'want', 'pistol', 'grip', 'pump', 'one', 'handi', 'idea', 'intend', 'purpos', 'have', 'rod', 'disengag', 'plunger', 'disc', 'uniqu', 'experi', 'lincoln', 'greas', 'gun']","01 11, 2014",A204K1OFE8OB9Y,Winter,Going into the trash,1389398400
924,B0002NYE5M,"[0, 0]",2,"['hard', 'appli', 'veri', 'hard', 'take', 'go', 'back', 'suppli', 'cabinet', 'use', 'out', 'p21s', 'definit', 'pay', 'case']","12 20, 2013",A3FK1TTD6F8M0D,"Brett Vogel ""EletronicMan7475""",Stiff,1387497600
946,B0002NYE5W,"[2, 5]",2,"['mayb', 'didnt', 'see', 'much', 'differ', '2010', '370z', 'babi', 'decid', 'three', 'year', 'time', 'detail', 'finish', 'babi', 'darn', 'thing', 'garag', 'kept', 'pretti', 'clean', 'start', 'follow', 'long', 'involv', 'instruct', 'written', 'one', 'experienc', 'review', 'letter', 'decid', 'hood', 'cleanwax', 'rest', 'car', 'comparison', 'see', 'differ', 'hood', 'definit', 'higher', 'gloss', 'differ', 'one', 'notic', 'mayb', 'more', 'notic', 'older', 'car', 'fade', 'paint', 'wouldnt', 'wast', 'time', 'do', 'again']","08 5, 2013",A3LWR6L9ZPUSDZ,S. G. Coates,Waste of time and money,1375660800
965,B0002Q81W6,"[0, 1]",1,"['plastic', 'sandwich', 'type', 'holder', 'flat', '4', 'wire', 'connector', 'connector', 'fit', 'loos', 'tilt', 'angl', 'result', 'holder', 'proper', 'channel', 'fit', 'cover', '4', 'wire', 'connector', 'bought', 'channel', 'provid', 'cover', 'veri', 'small', 'evid', 'applic', 'specif', 'wast', 'money', 'buy', 'differ', 'mount', 'bracket', 'trailer', 'place']","02 21, 2012",A2NSCHJNZAAT28,"Db ""db3058""",Garbage,1329782400
